id,DCI,ATC,initiale_ATC,niveau_2,Name_Length,niveau_3,niveau_4,initiale_DCI,Longueur_ATC
8593,Eflornithine,P01,P,P01,12,P01,P01,E,3
8594,Eflornithine,P,P,P,12,P,P,E,1
8595,Droxidopa,C01CA,C,C01,9,C01C,C01CA,D,5
8596,Droxidopa,C01C,C,C01,9,C01C,C01C,D,4
8597,Droxidopa,C01,C,C01,9,C01,C01,D,3
8598,Droxidopa,C,C,C,9,C,C,D,1
8599,Amrubicin,L01DB,L,L01,9,L01D,L01DB,A,5
8600,Amrubicin,L01D,L,L01,9,L01D,L01D,A,4
8601,Amrubicin,L01,L,L01,9,L01,L01,A,3
8602,Amrubicin,L,L,L,9,L,L,A,1
8603,Tolperisone,M03BX,M,M03,11,M03B,M03BX,T,5
8604,Tolperisone,M03B,M,M03,11,M03B,M03B,T,4
8605,Tolperisone,M03,M,M03,11,M03,M03,T,3
8606,Tolperisone,M,M,M,11,M,M,T,1
8607,Lonidamine,L01XX,L,L01,10,L01X,L01XX,L,5
8608,Lonidamine,L01X,L,L01,10,L01X,L01X,L,4
8609,Lonidamine,L01,L,L01,10,L01,L01,L,3
8610,Lonidamine,L,L,L,10,L,L,L,1
8611,Udenafil,G04BE,G,G04,8,G04B,G04BE,U,5
8612,Udenafil,G04B,G,G04,8,G04B,G04B,U,4
8613,Udenafil,G04,G,G04,8,G04,G04,U,3
8614,Udenafil,G,G,G,8,G,G,U,1
8615,Sitaxentan,C02KX,C,C02,10,C02K,C02KX,S,5
8616,Sitaxentan,C02K,C,C02,10,C02K,C02K,S,4
8617,Sitaxentan,C02,C,C02,10,C02,C02,S,3
8618,Sitaxentan,C,C,C,10,C,C,S,1
8619,Alvimopan,A06AH,A,A06,9,A06A,A06AH,A,5
8620,Alvimopan,A06A,A,A06,9,A06A,A06A,A,4
8621,Alvimopan,A06,A,A06,9,A06,A06,A,3
8622,Alvimopan,A,A,A,9,A,A,A,1
8623,Levocetirizine,R06AE,R,R06,14,R06A,R06AE,L,5
8624,Levocetirizine,R06A,R,R06,14,R06A,R06A,L,4
8625,Levocetirizine,R06,R,R06,14,R06,R06,L,3
8626,Levocetirizine,R,R,R,14,R,R,L,1
8627,Ziconotide,N02BG,N,N02,10,N02B,N02BG,Z,5
8628,Ziconotide,N02B,N,N02,10,N02B,N02B,Z,4
8629,Ziconotide,N02,N,N02,10,N02,N02,Z,3
8630,Ziconotide,N,N,N,10,N,N,Z,1
8631,Teriparatide,H05AA,H,H05,12,H05A,H05AA,T,5
8632,Teriparatide,H05A,H,H05,12,H05A,H05A,T,4
8633,Teriparatide,H05,H,H05,12,H05,H05,T,3
8634,Teriparatide,H,H,H,12,H,H,T,1
8635,Temsirolimus,L01XE,L,L01,12,L01X,L01XE,T,5
8636,Temsirolimus,L01X,L,L01,12,L01X,L01X,T,4
8637,Temsirolimus,L01,L,L01,12,L01,L01,T,3
8638,Temsirolimus,L,L,L,12,L,L,T,1
8639,Amisulpride,N05AL,N,N05,11,N05A,N05AL,A,5
8640,Amisulpride,N05A,N,N05,11,N05A,N05A,A,4
8641,Amisulpride,N05,N,N05,11,N05,N05,A,3
8642,Amisulpride,N,N,N,11,N,N,A,1
8643,Simeprevir,G01AE,G,G01,10,G01A,G01AE,S,5
8644,Simeprevir,G01A,G,G01,10,G01A,G01A,S,4
8645,Simeprevir,G01,G,G01,10,G01,G01,S,3
8646,Simeprevir,G,G,G,10,G,G,S,1
8647,Dapagliflozin,A10BK,A,A10,13,A10B,A10BK,D,5
8648,Dapagliflozin,A10B,A,A10,13,A10B,A10B,D,4
8649,Dapagliflozin,A10,A,A10,13,A10,A10,D,3
8650,Dapagliflozin,A,A,A,13,A,A,D,1
8651,Saxagliptin,A10BD,A,A10,11,A10B,A10BD,S,5
8652,Saxagliptin,A10B,A,A10,11,A10B,A10B,S,4
8653,Saxagliptin,A10,A,A10,11,A10,A10,S,3
8654,Saxagliptin,A,A,A,11,A,A,S,1
8655,Iclaprim,J01EA,J,J01,8,J01E,J01EA,I,5
8656,Iclaprim,J01E,J,J01,8,J01E,J01E,I,4
8657,Iclaprim,J01,J,J01,8,J01,J01,I,3
8658,Iclaprim,J,J,J,8,J,J,I,1
8659,Xaliproden,N07XX,N,N07,10,N07X,N07XX,X,5
8660,Xaliproden,N07X,N,N07,10,N07X,N07X,X,4
8661,Xaliproden,N07,N,N07,10,N07,N07,X,3
8662,Xaliproden,N,N,N,10,N,N,X,1
8663,Bazedoxifene,G03XC,G,G03,12,G03X,G03XC,B,5
8664,Bazedoxifene,G03X,G,G03,12,G03X,G03X,B,4
8665,Bazedoxifene,G03,G,G03,12,G03,G03,B,3
8666,Bazedoxifene,G,G,G,12,G,G,B,1
8667,Telavancin,J01XA,J,J01,10,J01X,J01XA,T,5
8668,Telavancin,J01X,J,J01,10,J01X,J01X,T,4
8669,Telavancin,J01,J,J01,10,J01,J01,T,3
8670,Telavancin,J,J,J,10,J,J,T,1
8671,Ambrisentan,C02KX,C,C02,11,C02K,C02KX,A,5
8672,Ambrisentan,C02K,C,C02,11,C02K,C02K,A,4
8673,Ambrisentan,C02,C,C02,11,C02,C02,A,3
8674,Ambrisentan,C,C,C,11,C,C,A,1
8675,Doxercalciferol,H05BX,H,H05,15,H05B,H05BX,D,5
8676,Doxercalciferol,H05B,H,H05,15,H05B,H05B,D,4
8677,Doxercalciferol,H05,H,H05,15,H05,H05,D,3
8678,Doxercalciferol,H,H,H,15,H,H,D,1
8679,Oxymetholone,A14AA,A,A14,12,A14A,A14AA,O,5
8680,Oxymetholone,A14A,A,A14,12,A14A,A14A,O,4
8681,Oxymetholone,A14,A,A14,12,A14,A14,O,3
8682,Oxymetholone,A,A,A,12,A,A,O,1
8683,Armodafinil,N06BA,N,N06,11,N06B,N06BA,A,5
8684,Armodafinil,N06B,N,N06,11,N06B,N06B,A,4
8685,Armodafinil,N06,N,N06,11,N06,N06,A,3
8686,Armodafinil,N,N,N,11,N,N,A,1
8687,Etravirine,J05AG,J,J05,10,J05A,J05AG,E,5
8688,Etravirine,J05A,J,J05,10,J05A,J05A,E,4
8689,Etravirine,J05,J,J05,10,J05,J05,E,3
8690,Etravirine,J,J,J,10,J,J,E,1
8691,Tyloxapol,R05CA,R,R05,9,R05C,R05CA,T,5
8692,Tyloxapol,R05C,R,R05,9,R05C,R05C,T,4
8693,Tyloxapol,R05,R,R05,9,R05,R05,T,3
8694,Tyloxapol,R,R,R,9,R,R,T,1
8695,Cangrelor,B01AC,B,B01,9,B01A,B01AC,C,5
8696,Cangrelor,B01A,B,B01,9,B01A,B01A,C,4
8697,Cangrelor,B01,B,B01,9,B01,B01,C,3
8698,Cangrelor,B,B,B,9,B,B,C,1
8699,Clomethiazole,N05CX,N,N05,13,N05C,N05CX,C,5
8700,Clomethiazole,N05C,N,N05,13,N05C,N05C,C,4
8701,Clomethiazole,N05,N,N05,13,N05,N05,C,3
8702,Clomethiazole,N,N,N,13,N,N,C,1
8703,Propentofylline,N06BC,N,N06,15,N06B,N06BC,P,5
8704,Propentofylline,N06B,N,N06,15,N06B,N06B,P,4
8705,Propentofylline,N06,N,N06,15,N06,N06,P,3
8706,Propentofylline,N,N,N,15,N,N,P,1
8707,Prucalopride,A06AX,A,A06,12,A06A,A06AX,P,5
8708,Prucalopride,A06A,A,A06,12,A06A,A06A,P,4
8709,Prucalopride,A06,A,A06,12,A06,A06,P,3
8710,Prucalopride,A,A,A,12,A,A,P,1
8711,Etilevodopa,N04BA,N,N04,11,N04B,N04BA,E,5
8712,Etilevodopa,N04B,N,N04,11,N04B,N04B,E,4
8713,Etilevodopa,N04,N,N04,11,N04,N04,E,3
8714,Etilevodopa,N,N,N,11,N,N,E,1
8715,Pazopanib,L01XE,L,L01,9,L01X,L01XE,P,5
8716,Pazopanib,L01X,L,L01,9,L01X,L01X,P,4
8717,Pazopanib,L01,L,L01,9,L01,L01,P,3
8718,Pazopanib,L,L,L,9,L,L,P,1
8719,Ceftaroline fosamil,J01DI,J,J01,19,J01D,J01DI,C,5
8720,Ceftaroline fosamil,J01D,J,J01,19,J01D,J01D,C,4
8721,Ceftaroline fosamil,J01,J,J01,19,J01,J01,C,3
8722,Ceftaroline fosamil,J,J,J,19,J,J,C,1
8723,Agomelatine,N06AX,N,N06,11,N06A,N06AX,A,5
8724,Agomelatine,N06A,N,N06,11,N06A,N06A,A,4
8725,Agomelatine,N06,N,N06,11,N06,N06,A,3
8726,Agomelatine,N,N,N,11,N,N,A,1
8727,Midostaurin,L01XE,L,L01,11,L01X,L01XE,M,5
8728,Midostaurin,L01X,L,L01,11,L01X,L01X,M,4
8729,Midostaurin,L01,L,L01,11,L01,L01,M,3
8730,Midostaurin,L,L,L,11,L,L,M,1
8731,Nemonoxacin,J01MB,J,J01,11,J01M,J01MB,N,5
8732,Nemonoxacin,J01M,J,J01,11,J01M,J01M,N,4
8733,Nemonoxacin,J01,J,J01,11,J01,J01,N,3
8734,Nemonoxacin,J,J,J,11,J,J,N,1
8735,Panobinostat,L01XX,L,L01,12,L01X,L01XX,P,5
8736,Panobinostat,L01X,L,L01,12,L01X,L01X,P,4
8737,Panobinostat,L01,L,L01,12,L01,L01,P,3
8738,Panobinostat,L,L,L,12,L,L,P,1
8739,Apixaban,B01AF,B,B01,8,B01A,B01AF,A,5
8740,Apixaban,B01A,B,B01,8,B01A,B01A,A,4
8741,Apixaban,B01,B,B01,8,B01,B01,A,3
8742,Apixaban,B,B,B,8,B,B,A,1
8743,Peramivir,J05AH,J,J05,9,J05A,J05AH,P,5
8744,Peramivir,J05A,J,J05,9,J05A,J05A,P,4
8745,Peramivir,J05,J,J05,9,J05,J05,P,3
8746,Peramivir,J,J,J,9,J,J,P,1
8747,Bosutinib,L01XE,L,L01,9,L01X,L01XE,B,5
8748,Bosutinib,L01X,L,L01,9,L01X,L01X,B,4
8749,Bosutinib,L01,L,L01,9,L01,L01,B,3
8750,Bosutinib,L,L,L,9,L,L,B,1
8751,Flupirtine,N02BG,N,N02,10,N02B,N02BG,F,5
8752,Flupirtine,N02B,N,N02,10,N02B,N02B,F,4
8753,Flupirtine,N02,N,N02,10,N02,N02,F,3
8754,Flupirtine,N,N,N,10,N,N,F,1
8755,Axitinib,L01XE,L,L01,8,L01X,L01XE,A,5
8756,Axitinib,L01X,L,L01,8,L01X,L01X,A,4
8757,Axitinib,L01,L,L01,8,L01,L01,A,3
8758,Axitinib,L,L,L,8,L,L,A,1
8759,Casopitant,A04AD,A,A04,10,A04A,A04AD,C,5
8760,Casopitant,A04A,A,A04,10,A04A,A04A,C,4
8761,Casopitant,A04,A,A04,10,A04,A04,C,3
8762,Casopitant,A,A,A,10,A,A,C,1
8763,Dalfampridine,N07XX,N,N07,13,N07X,N07XX,D,5
8764,Dalfampridine,N07X,N,N07,13,N07X,N07X,D,4
8765,Dalfampridine,N07,N,N07,13,N07,N07,D,3
8766,Dalfampridine,N,N,N,13,N,N,D,1
8767,Safinamide,N04BD,N,N04,10,N04B,N04BD,S,5
8768,Safinamide,N04B,N,N04,10,N04B,N04B,S,4
8769,Safinamide,N04,N,N04,10,N04,N04,S,3
8770,Safinamide,N,N,N,10,N,N,S,1
8771,Liraglutide,A10AE,A,A10,11,A10A,A10AE,L,5
8772,Liraglutide,A10A,A,A10,11,A10A,A10A,L,4
8773,Liraglutide,A10,A,A10,11,A10,A10,L,3
8774,Liraglutide,A,A,A,11,A,A,L,1
8775,Pasireotide,H01CB,H,H01,11,H01C,H01CB,P,5
8776,Pasireotide,H01C,H,H01,11,H01C,H01C,P,4
8777,Pasireotide,H01,H,H01,11,H01,H01,P,3
8778,Pasireotide,H,H,H,11,H,H,P,1
8779,Naproxcinod,M01AE,M,M01,11,M01A,M01AE,N,5
8780,Naproxcinod,M01A,M,M01,11,M01A,M01A,N,4
8781,Naproxcinod,M01,M,M01,11,M01,M01,N,3
8782,Naproxcinod,M,M,M,11,M,M,N,1
8783,Clevudine,J05AF,J,J05,9,J05A,J05AF,C,5
8784,Clevudine,J05A,J,J05,9,J05A,J05A,C,4
8785,Clevudine,J05,J,J05,9,J05,J05,C,3
8786,Clevudine,J,J,J,9,J,J,C,1
8787,Vilazodone,N06AX,N,N06,10,N06A,N06AX,V,5
8788,Vilazodone,N06A,N,N06,10,N06A,N06A,V,4
8789,Vilazodone,N06,N,N06,10,N06,N06,V,3
8790,Vilazodone,N,N,N,10,N,N,V,1
8791,Laquinimod,N07XX,N,N07,10,N07X,N07XX,L,5
8792,Laquinimod,N07X,N,N07,10,N07X,N07X,L,4
8793,Laquinimod,N07,N,N07,10,N07,N07,L,3
8794,Laquinimod,N,N,N,10,N,N,L,1
8795,Ethanolamine oleate,C05BB,C,C05,19,C05B,C05BB,E,5
8796,Ethanolamine oleate,C05B,C,C05,19,C05B,C05B,E,4
8797,Ethanolamine oleate,C05,C,C05,19,C05,C05,E,3
8798,Ethanolamine oleate,C,C,C,19,C,C,E,1
8799,Nitrous oxide,N01AX,N,N01,13,N01A,N01AX,N,5
8800,Nitrous oxide,N01A,N,N01,13,N01A,N01A,N,4
8801,Nitrous oxide,N01,N,N01,13,N01,N01,N,3
8802,Nitrous oxide,N,N,N,13,N,N,N,1
8803,Mepyramine,D04AA,D,D04,10,D04A,D04AA,M,5
8804,Mepyramine,D04A,D,D04,10,D04A,D04A,M,4
8805,Mepyramine,D04,D,D04,10,D04,D04,M,3
8806,Mepyramine,D,D,D,10,D,D,M,1
8807,Aprotinin,B02AB,B,B02,9,B02A,B02AB,A,5
8808,Aprotinin,B02A,B,B02,9,B02A,B02A,A,4
8809,Aprotinin,B02,B,B02,9,B02,B02,A,3
8810,Aprotinin,B,B,B,9,B,B,A,1
8811,Xylometazoline,R01AB,R,R01,14,R01A,R01AB,X,5
8812,Xylometazoline,R01A,R,R01,14,R01A,R01A,X,4
8813,Xylometazoline,R01,R,R01,14,R01,R01,X,3
8814,Xylometazoline,R,R,R,14,R,R,X,1
8815,Dabigatran etexilate,B01AE,B,B01,20,B01A,B01AE,D,5
8816,Dabigatran etexilate,B01A,B,B01,20,B01A,B01A,D,4
8817,Dabigatran etexilate,B01,B,B01,20,B01,B01,D,3
8818,Dabigatran etexilate,B,B,B,20,B,B,D,1
8819,Arbekacin,J01GB,J,J01,9,J01G,J01GB,A,5
8820,Arbekacin,J01G,J,J01,9,J01G,J01G,A,4
8821,Arbekacin,J01,J,J01,9,J01,J01,A,3
8822,Arbekacin,J,J,J,9,J,J,A,1
8823,Artemether,P01BF,P,P01,10,P01B,P01BF,A,5
8824,Artemether,P01B,P,P01,10,P01B,P01B,A,4
8825,Artemether,P01,P,P01,10,P01,P01,A,3
8826,Artemether,P,P,P,10,P,P,A,1
8827,Betahistine,N07CA,N,N07,11,N07C,N07CA,B,5
8828,Betahistine,N07C,N,N07,11,N07C,N07C,B,4
8829,Betahistine,N07,N,N07,11,N07,N07,B,3
8830,Betahistine,N,N,N,11,N,N,B,1
8831,Degarelix,L02BX,L,L02,9,L02B,L02BX,D,5
8832,Degarelix,L02B,L,L02,9,L02B,L02B,D,4
8833,Degarelix,L02,L,L02,9,L02,L02,D,3
8834,Degarelix,L,L,L,9,L,L,D,1
8835,Desvenlafaxine,N06AX,N,N06,14,N06A,N06AX,D,5
8836,Desvenlafaxine,N06A,N,N06,14,N06A,N06A,D,4
8837,Desvenlafaxine,N06,N,N06,14,N06,N06,D,3
8838,Desvenlafaxine,N,N,N,14,N,N,D,1
8839,Dexmethylphenidate,N06BA,N,N06,18,N06B,N06BA,D,5
8840,Dexmethylphenidate,N06B,N,N06,18,N06B,N06B,D,4
8841,Dexmethylphenidate,N06,N,N06,18,N06,N06,D,3
8842,Dexmethylphenidate,N,N,N,18,N,N,D,1
8843,Fesoterodine,G04BD,G,G04,12,G04B,G04BD,F,5
8844,Fesoterodine,G04B,G,G04,12,G04B,G04B,F,4
8845,Fesoterodine,G04,G,G04,12,G04,G04,F,3
8846,Fesoterodine,G,G,G,12,G,G,F,1
8847,Gadobutrol,V08CA,V,V08,10,V08C,V08CA,G,5
8848,Gadobutrol,V08C,V,V08,10,V08C,V08C,G,4
8849,Gadobutrol,V08,V,V08,10,V08,V08,G,3
8850,Gadobutrol,V,V,V,10,V,V,G,1
8851,Iobenguane,V09IX,V,V09,10,V09I,V09IX,I,5
8852,Iobenguane,V09I,V,V09,10,V09I,V09I,I,4
8853,Iobenguane,V09,V,V09,10,V09,V09,I,3
8854,Iobenguane,V,V,V,10,V,V,I,1
8855,Gadofosveset trisodium,V08CA,V,V08,22,V08C,V08CA,G,5
8856,Gadofosveset trisodium,V08C,V,V08,22,V08C,V08C,G,4
8857,Gadofosveset trisodium,V08,V,V08,22,V08,V08,G,3
8858,Gadofosveset trisodium,V,V,V,22,V,V,G,1
8859,Isometheptene,A03AX,A,A03,13,A03A,A03AX,I,5
8860,Isometheptene,A03A,A,A03,13,A03A,A03A,I,4
8861,Isometheptene,A03,A,A03,13,A03,A03,I,3
8862,Isometheptene,A,A,A,13,A,A,I,1
8863,Lumefantrine,P01BF,P,P01,12,P01B,P01BF,L,5
8864,Lumefantrine,P01B,P,P01,12,P01B,P01B,L,4
8865,Lumefantrine,P01,P,P01,12,P01,P01,L,3
8866,Lumefantrine,P,P,P,12,P,P,L,1
8867,Methyltestosterone,G03BA,G,G03,18,G03B,G03BA,M,5
8868,Methyltestosterone,G03B,G,G03,18,G03B,G03B,M,4
8869,Methyltestosterone,G03,G,G03,18,G03,G03,M,3
8870,Methyltestosterone,G,G,G,18,G,G,M,1
8871,Naphazoline,R01AB,R,R01,11,R01A,R01AB,N,5
8872,Naphazoline,R01A,R,R01,11,R01A,R01A,N,4
8873,Naphazoline,R01,R,R01,11,R01,R01,N,3
8874,Naphazoline,R,R,R,11,R,R,N,1
8875,Nilvadipine,C08CA,C,C08,11,C08C,C08CA,N,5
8876,Nilvadipine,C08C,C,C08,11,C08C,C08C,N,4
8877,Nilvadipine,C08,C,C08,11,C08,C08,N,3
8878,Nilvadipine,C,C,C,11,C,C,N,1
8879,Norelgestromin,G03AA,G,G03,14,G03A,G03AA,N,5
8880,Norelgestromin,G03A,G,G03,14,G03A,G03A,N,4
8881,Norelgestromin,G03,G,G03,14,G03,G03,N,3
8882,Norelgestromin,G,G,G,14,G,G,N,1
8883,Potassium Iodide,S01XA,S,S01,16,S01X,S01XA,P,5
8884,Potassium Iodide,S01X,S,S01,16,S01X,S01X,P,4
8885,Potassium Iodide,S01,S,S01,16,S01,S01,P,3
8886,Potassium Iodide,S,S,S,16,S,S,P,1
8887,Stanozolol,A14AA,A,A14,10,A14A,A14AA,S,5
8888,Stanozolol,A14A,A,A14,10,A14A,A14A,S,4
8889,Stanozolol,A14,A,A14,10,A14,A14,S,3
8890,Stanozolol,A,A,A,10,A,A,S,1
8891,Buserelin,L02AE,L,L02,9,L02A,L02AE,B,5
8892,Buserelin,L02A,L,L02,9,L02A,L02A,B,4
8893,Buserelin,L02,L,L02,9,L02,L02,B,3
8894,Buserelin,L,L,L,9,L,L,B,1
8895,Aluminum hydroxide,A02AB,A,A02,18,A02A,A02AB,A,5
8896,Aluminum hydroxide,A02A,A,A02,18,A02A,A02A,A,4
8897,Aluminum hydroxide,A02,A,A02,18,A02,A02,A,3
8898,Aluminum hydroxide,A,A,A,18,A,A,A,1
8899,Calcium carbonate,A02AC,A,A02,17,A02A,A02AC,C,5
8900,Calcium carbonate,A02A,A,A02,17,A02A,A02A,C,4
8901,Calcium carbonate,A02,A,A02,17,A02,A02,C,3
8902,Calcium carbonate,A,A,A,17,A,A,C,1
8903,Lornoxicam,M01AC,M,M01,10,M01A,M01AC,L,5
8904,Lornoxicam,M01A,M,M01,10,M01A,M01A,L,4
8905,Lornoxicam,M01,M,M01,10,M01,M01,L,3
8906,Lornoxicam,M,M,M,10,M,M,L,1
8907,Sparteine,C01BA,C,C01,9,C01B,C01BA,S,5
8908,Sparteine,C01B,C,C01,9,C01B,C01B,S,4
8909,Sparteine,C01,C,C01,9,C01,C01,S,3
8910,Sparteine,C,C,C,9,C,C,S,1
8911,Sulfaphenazole,S01AB,S,S01,14,S01A,S01AB,S,5
8912,Sulfaphenazole,S01A,S,S01,14,S01A,S01A,S,4
8913,Sulfaphenazole,S01,S,S01,14,S01,S01,S,3
8914,Sulfaphenazole,S,S,S,14,S,S,S,1
8915,Gestodene,G03AA,G,G03,9,G03A,G03AA,G,5
8916,Gestodene,G03A,G,G03,9,G03A,G03A,G,4
8917,Gestodene,G03,G,G03,9,G03,G03,G,3
8918,Gestodene,G,G,G,9,G,G,G,1
8919,Aceclofenac,M01AB,M,M01,11,M01A,M01AB,A,5
8920,Aceclofenac,M01A,M,M01,11,M01A,M01A,A,4
8921,Aceclofenac,M01,M,M01,11,M01,M01,A,3
8922,Aceclofenac,M,M,M,11,M,M,A,1
8923,Ketobemidone,N02AB,N,N02,12,N02A,N02AB,K,5
8924,Ketobemidone,N02A,N,N02,12,N02A,N02A,K,4
8925,Ketobemidone,N02,N,N02,12,N02,N02,K,3
8926,Ketobemidone,N,N,N,12,N,N,K,1
8927,Seratrodast,R03DX,R,R03,11,R03D,R03DX,S,5
8928,Seratrodast,R03D,R,R03,11,R03D,R03D,S,4
8929,Seratrodast,R03,R,R03,11,R03,R03,S,3
8930,Seratrodast,R,R,R,11,R,R,S,1
8931,Ambroxol,R03CC,R,R03,8,R03C,R03CC,A,5
8932,Ambroxol,R03C,R,R03,8,R03C,R03C,A,4
8933,Ambroxol,R03,R,R03,8,R03,R03,A,3
8934,Ambroxol,R,R,R,8,R,R,A,1
8935,Drotaverine,A03AD,A,A03,11,A03A,A03AD,D,5
8936,Drotaverine,A03A,A,A03,11,A03A,A03A,D,4
8937,Drotaverine,A03,A,A03,11,A03,A03,D,3
8938,Drotaverine,A,A,A,11,A,A,D,1
8939,Chymopapain,M09AB,M,M09,11,M09A,M09AB,C,5
8940,Chymopapain,M09A,M,M09,11,M09A,M09A,C,4
8941,Chymopapain,M09,M,M09,11,M09,M09,C,3
8942,Chymopapain,M,M,M,11,M,M,C,1
8943,Triclofos,N05CM,N,N05,9,N05C,N05CM,T,5
8944,Triclofos,N05C,N,N05,9,N05C,N05C,T,4
8945,Triclofos,N05,N,N05,9,N05,N05,T,3
8946,Triclofos,N,N,N,9,N,N,T,1
8947,Beta carotene,A11CA,A,A11,13,A11C,A11CA,B,5
8948,Beta carotene,A11C,A,A11,13,A11C,A11C,B,4
8949,Beta carotene,A11,A,A11,13,A11,A11,B,3
8950,Beta carotene,A,A,A,13,A,A,B,1
8951,Betaine,A16AA,A,A16,7,A16A,A16AA,B,5
8952,Betaine,A16A,A,A16,7,A16A,A16A,B,4
8953,Betaine,A16,A,A16,7,A16,A16,B,3
8954,Betaine,A,A,A,7,A,A,B,1
8955,Pinacidil,C02DG,C,C02,9,C02D,C02DG,P,5
8956,Pinacidil,C02D,C,C02,9,C02D,C02D,P,4
8957,Pinacidil,C02,C,C02,9,C02,C02,P,3
8958,Pinacidil,C,C,C,9,C,C,P,1
8959,Tetryzoline,S01GA,S,S01,11,S01G,S01GA,T,5
8960,Tetryzoline,S01G,S,S01,11,S01G,S01G,T,4
8961,Tetryzoline,S01,S,S01,11,S01,S01,T,3
8962,Tetryzoline,S,S,S,11,S,S,T,1
8963,Alcaftadine,S01GX,S,S01,11,S01G,S01GX,A,5
8964,Alcaftadine,S01G,S,S01,11,S01G,S01G,A,4
8965,Alcaftadine,S01,S,S01,11,S01,S01,A,3
8966,Alcaftadine,S,S,S,11,S,S,A,1
8967,Ammonium chloride,B05XA,B,B05,17,B05X,B05XA,A,5
8968,Ammonium chloride,B05X,B,B05,17,B05X,B05X,A,4
8969,Ammonium chloride,B05,B,B05,17,B05,B05,A,3
8970,Ammonium chloride,B,B,B,17,B,B,A,1
8971,Bendamustine,L01AA,L,L01,12,L01A,L01AA,B,5
8972,Bendamustine,L01A,L,L01,12,L01A,L01A,B,4
8973,Bendamustine,L01,L,L01,12,L01,L01,B,3
8974,Bendamustine,L,L,L,12,L,L,B,1
8975,Benzyl alcohol,P03AX,P,P03,14,P03A,P03AX,B,5
8976,Benzyl alcohol,P03A,P,P03,14,P03A,P03A,B,4
8977,Benzyl alcohol,P03,P,P03,14,P03,P03,B,3
8978,Benzyl alcohol,P,P,P,14,P,P,B,1
8979,Besifloxacin,S01AE,S,S01,12,S01A,S01AE,B,5
8980,Besifloxacin,S01A,S,S01,12,S01A,S01A,B,4
8981,Besifloxacin,S01,S,S01,12,S01,S01,B,3
8982,Besifloxacin,S,S,S,12,S,S,B,1
8983,Cabazitaxel,L01CD,L,L01,11,L01C,L01CD,C,5
8984,Cabazitaxel,L01C,L,L01,11,L01C,L01C,C,4
8985,Cabazitaxel,L01,L,L01,11,L01,L01,C,3
8986,Cabazitaxel,L,L,L,11,L,L,C,1
8987,Human calcitonin,H05BA,H,H05,16,H05B,H05BA,H,5
8988,Human calcitonin,H05B,H,H05,16,H05B,H05B,H,4
8989,Human calcitonin,H05,H,H05,16,H05,H05,H,3
8990,Human calcitonin,H,H,H,16,H,H,H,1
8991,Capsaicin,M02AB,M,M02,9,M02A,M02AB,C,5
8992,Capsaicin,M02A,M,M02,9,M02A,M02A,C,4
8993,Capsaicin,M02,M,M02,9,M02,M02,C,3
8994,Capsaicin,M,M,M,9,M,M,C,1
8995,Carglumic acid,A16AA,A,A16,14,A16A,A16AA,C,5
8996,Carglumic acid,A16A,A,A16,14,A16A,A16A,C,4
8997,Carglumic acid,A16,A,A16,14,A16,A16,C,3
8998,Carglumic acid,A,A,A,14,A,A,C,1
8999,Chenodeoxycholic acid,A05AA,A,A05,21,A05A,A05AA,C,5
9000,Chenodeoxycholic acid,A05A,A,A05,21,A05A,A05A,C,4
9001,Chenodeoxycholic acid,A05,A,A05,21,A05,A05,C,3
9002,Chenodeoxycholic acid,A,A,A,21,A,A,C,1
9003,Cupric sulfate,V03AB,V,V03,14,V03A,V03AB,C,5
9004,Cupric sulfate,V03A,V,V03,14,V03A,V03A,C,4
9005,Cupric sulfate,V03,V,V03,14,V03,V03,C,3
9006,Cupric sulfate,V,V,V,14,V,V,C,1
9007,Dalteparin,B01AB,B,B01,10,B01A,B01AB,D,5
9008,Dalteparin,B01A,B,B01,10,B01A,B01A,D,4
9009,Dalteparin,B01,B,B01,10,B01,B01,D,3
9010,Dalteparin,B,B,B,10,B,B,D,1
9011,Difluprednate,D07AC,D,D07,13,D07A,D07AC,D,5
9012,Difluprednate,D07A,D,D07,13,D07A,D07A,D,4
9013,Difluprednate,D07,D,D07,13,D07,D07,D,3
9014,Difluprednate,D,D,D,13,D,D,D,1
9015,Dimercaprol,V03AB,V,V03,11,V03A,V03AB,D,5
9016,Dimercaprol,V03A,V,V03,11,V03A,V03A,D,4
9017,Dimercaprol,V03,V,V03,11,V03,V03,D,3
9018,Dimercaprol,V,V,V,11,V,V,D,1
9019,Prussian blue,V03AB,V,V03,13,V03A,V03AB,P,5
9020,Prussian blue,V03A,V,V03,13,V03A,V03A,P,4
9021,Prussian blue,V03,V,V03,13,V03,V03,P,3
9022,Prussian blue,V,V,V,13,V,V,P,1
9023,Ganirelix,H01CC,H,H01,9,H01C,H01CC,G,5
9024,Ganirelix,H01C,H,H01,9,H01C,H01C,G,4
9025,Ganirelix,H01,H,H01,9,H01,H01,G,3
9026,Ganirelix,H,H,H,9,H,H,G,1
9027,Halcinonide,D07AD,D,D07,11,D07A,D07AD,H,5
9028,Halcinonide,D07A,D,D07,11,D07A,D07A,H,4
9029,Halcinonide,D07,D,D07,11,D07,D07,H,3
9030,Halcinonide,D,D,D,11,D,D,H,1
9031,Hexocyclium,A03AB,A,A03,11,A03A,A03AB,H,5
9032,Hexocyclium,A03A,A,A03,11,A03A,A03A,H,4
